Year,Electricity Supplied [GW.h],Reference Unit Power [MW],Annual Time On Line [h],Operation Factor [%],Annual Energy Availability Factor [%],Cumulative Energy Availability Factor [%],Annual Load Factor [%],Cumulative Load Factor [%],country,reactor_name,Calendar_Date
1976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1976-01-01
1977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1977-01-01
1978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1978-01-01
1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1979-01-01
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1980-01-01
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1981-01-01
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1982-01-01
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1983-01-01
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1984-01-01
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1985-01-01
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-1,1986-01-01
1987,2101.32,408.0,5600.0,63.9,59.8,0.0,58.8,0.0,Armenia,ARMENIAN-1,1987-01-01
1988,2149.51,376.0,5915.0,67.3,65.5,0.0,65.1,0.0,Armenia,ARMENIAN-1,1988-01-01
1989,505.33,376.0,1330.0,93.9,99.5,0.0,94.9,0.0,Armenia,ARMENIAN-1,1989-01-01
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1980-01-01
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1981-01-01
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1982-01-01
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1983-01-01
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1984-01-01
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1985-01-01
1986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1986-01-01
1987,2629.08,408.0,7040.0,80.4,79.3,0.0,73.6,0.0,Armenia,ARMENIAN-2,1987-01-01
1988,2254.53,376.0,6741.0,76.7,73.4,0.0,68.3,0.0,Armenia,ARMENIAN-2,1988-01-01
1989,671.28,376.0,1838.0,85.1,99.6,0.0,82.7,0.0,Armenia,ARMENIAN-2,1989-01-01
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1990-01-01
1991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1991-01-01
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Armenia,ARMENIAN-2,1992-01-01
