reactor_Type;model;design_net_capacity;construction_start_date;commercial_operation_date;owner;operator;Shutdown Date;country;reactor_name;Status
PWR;VVER V-270;376;01 Jul, 1969;06 Oct, 1977;Ministry of Energy and Natural Resources of RA;Closed Joint Stock Company Armenian NPP;25 Feb, 1989;Armenia;ARMENIAN-1;Permanent shutdown
PWR;VVER V-270;375;01 Jul, 1975;03 May, 1980;Ministry of Energy and Natural Resources of RA;Closed Joint Stock Company Armenian NPP;0;Armenia;ARMENIAN-2;Operational
PHWR;PHWR KWU;340;01 Jun, 1968;24 Jun, 1974;NUCLEOELECTRICA ARGENTINA S.A.;NUCLEOELECTRICA ARGENTINA S.A.;0;Argentina;ATUCHA-1;Operational
PHWR;CANDU 6;608;01 Apr, 1974;20 Jan, 1984;NUCLEOELECTRICA ARGENTINA S.A.;NUCLEOELECTRICA ARGENTINA S.A.;0;Argentina;EMBALSE;Operational
PHWR;PHWR KWU;692;14 Jul, 1981;26 May, 2016;NUCLEOELECTRICA ARGENTINA S.A.;NUCLEOELECTRICA ARGENTINA S.A.;0;Argentina;ATUCHA-2;Operational
PWR;Prototype;11;01 Nov, 1957;10 Oct, 1962;CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE;CENTRE D'ETUDE DE L'ENERGIE NUCLEAIRE / STUDIECENTRUM VOOR KERNENERGIE;30 Jun, 1987;Belgium;BR-3;Permanent shutdown
PWR;WH 2LP;392;01 Jul, 1969;15 Feb, 1975;INDIVISION DOEL (EBES , INTERCOM , UNERG);ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS;0;Belgium;DOEL-1;Operational
PWR;Framatome 3 loops reactor;870;01 Jun, 1970;01 Oct, 1975;ENGIE ELECTRABEL;ENGIE ELECTRABEL;0;Belgium;TIHANGE-1;Operational
PWR;WH 2LP;445;01 Sep, 1971;01 Dec, 1975;INDIVISION DOEL (EBES , INTERCOM , UNERG);ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS;0;Belgium;DOEL-2;Operational
PWR;WH 3LP;1006;01 Jan, 1975;01 Oct, 1982;SOCIETES REUNIES D'ENERGIE DU BASSIN DE L'ESCAUT SA;ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS;0;Belgium;DOEL-3;Operational
PWR;WH 3LP;900;01 Apr, 1976;01 Jun, 1983;ENGIE ELECTRABEL;ENGIE ELECTRABEL;0;Belgium;TIHANGE-2;Operational
PWR;WH 3LP;1000;01 Dec, 1978;01 Jul, 1985;SOCIETES REUNIES D'ENERGIE DU BASSIN DE L'ESCAUT SA;ENGIE ELECTRABEL + EDF BELGIUM + EDF LUMINUS;0;Belgium;DOEL-4;Operational
PWR;WH 3LP;1020;01 Nov, 1978;01 Sep, 1985;ENGIE ELECTRABEL;ENGIE ELECTRABEL;0;Belgium;TIHANGE-3;Operational
PWR;VVER V-230;408;01 Apr, 1970;28 Oct, 1974;0;KOZLODUY NPP, PLC.;31 Dec, 2002;Bulgaria;KOZLODUY-1;Permanent shutdown
PWR;VVER V-230;408;01 Apr, 1970;10 Nov, 1975;0;KOZLODUY NPP, PLC.;31 Dec, 2002;Bulgaria;KOZLODUY-2;Permanent shutdown
PWR;VVER V-230;408;01 Oct, 1973;20 Jan, 1981;Bulgarian Energy Holding Company;KOZLODUY NPP, PLC.;31 Dec, 2006;Bulgaria;KOZLODUY-3;Permanent shutdown
PWR;VVER V-230;408;01 Oct, 1973;20 Jun, 1982;Bulgarian Energy Holding Company;KOZLODUY NPP, PLC.;31 Dec, 2006;Bulgaria;KOZLODUY-4;Permanent shutdown
PWR;VVER V-320;1003;09 Jul, 1980;23 Dec, 1988;Bulgarian Energy Holding Company;KOZLODUY NPP, PLC.;0;Bulgaria;KOZLODUY-5;Operational
PWR;VVER V-320;1003;01 Apr, 1982;30 Dec, 1993;Bulgarian Energy Holding Company;KOZLODUY NPP, PLC.;0;Bulgaria;KOZLODUY-6;Operational
PWR;WH 2LP;609;01 May, 1971;01 Jan, 1985;ELETROBRAS ELETRONUCLEAR S.A.;ELETROBRAS ELETRONUCLEAR S.A.;0;Brazil;ANGRA-1;Operational
PWR;PRE KONVOI;1245;01 Jan, 1976;01 Feb, 2001;ELETROBRAS ELETRONUCLEAR S.A.;ELETROBRAS ELETRONUCLEAR S.A.;0;Brazil;ANGRA-2;Operational
PWR;PRE KONVOI;1340;01 Jun, 2010;0;ELETROBRAS ELETRONUCLEAR S.A.;ELETROBRAS ELETRONUCLEAR S.A.;0;Brazil;ANGRA-3;Under Construction
PHWR;CANDU;17;01 Jan, 1958;01 Oct, 1962;NUCLEAR PORTION: AECL  CONVENTIONAL PORTION: ONTARIO HYDRO;ONTARIO HYDRO;01 Aug, 1987;Canada;ROLPHTON NPD;Permanent shutdown
PHWR;CANDU 750A;770;01 Jul, 1972;01 Feb, 1978;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-3;Operational
PHWR;CANDU 750A;769;01 Sep, 1972;18 Jan, 1979;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-4;Operational
PHWR;CANDU 6;645;01 Apr, 1974;01 Oct, 1983;HYDRO QUEBEC;HYDRO QUEBEC;28 Dec, 2012;Canada;GENTILLY-2;Permanent shutdown
PHWR;CANDU 500B;516;01 Nov, 1974;10 May, 1983;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-5;Operational
PHWR;CANDU 500B;516;01 Oct, 1975;01 Feb, 1984;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-6;Operational
PHWR;CANDU 500B;516;01 Mar, 1976;01 Jan, 1985;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-7;Operational
PHWR;CANDU 500B;516;01 Sep, 1976;28 Feb, 1986;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-8;Operational
PHWR;CANDU 6;660;01 May, 1975;01 Feb, 1983;NEW BRUNSWICK ELECTRIC POWER COMMISSION;NEW BRUNSWICK ELECTRIC POWER COMMISSION;0;Canada;POINT LEPREAU;Operational
PHWR;CANDU 750B;822;01 Jun, 1978;01 Mar, 1985;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-5;Operational
PHWR;CANDU 750B;822;01 Jan, 1978;14 Sep, 1984;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-6;Operational
PHWR;CANDU 200;203;01 Feb, 1960;26 Sep, 1968;ATOMIC ENERGY OF CANADA, LTD.;ONTARIO HYDRO;04 May, 1984;Canada;DOUGLAS POINT;Permanent shutdown
PHWR;CANDU 750B;822;01 May, 1979;10 Apr, 1986;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-7;Operational
PHWR;CANDU 750B;795;01 Aug, 1979;22 May, 1987;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-8;Operational
PHWR;CANDU 850;881;01 Apr, 1982;14 Nov, 1992;Ontario Power Generation;Ontario Power Generation;0;Canada;DARLINGTON-1;Operational
PHWR;CANDU 850;881;01 Sep, 1981;09 Oct, 1990;Ontario Power Generation;Ontario Power Generation;0;Canada;DARLINGTON-2;Operational
PHWR;CANDU 850;881;01 Sep, 1984;14 Feb, 1993;Ontario Power Generation;Ontario Power Generation;0;Canada;DARLINGTON-3;Operational
PHWR;CANDU 850;881;01 Jul, 1985;14 Jun, 1993;Ontario Power Generation;Ontario Power Generation;0;Canada;DARLINGTON-4;Operational
HWLWR;HW BLWR 250;250;01 Sep, 1966;01 May, 1972;Canadian Nuclear Laboratories Limited;HYDRO QUEBEC;01 Jun, 1977;Canada;GENTILLY-1;Permanent shutdown
PHWR;CANDU 500A;508;01 Jun, 1966;29 Jul, 1971;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-1;Operational
PHWR;CANDU 500A;508;01 Sep, 1966;30 Dec, 1971;Ontario Power Generation;Ontario Power Generation;28 May, 2007;Canada;PICKERING-2;Permanent shutdown
PHWR;CANDU 500A;508;01 Dec, 1967;01 Jun, 1972;Ontario Power Generation;Ontario Power Generation;31 Oct, 2008;Canada;PICKERING-3;Permanent shutdown
PHWR;CANDU 500A;508;01 May, 1968;17 Jun, 1973;Ontario Power Generation;Ontario Power Generation;0;Canada;PICKERING-4;Operational
PHWR;CANDU 791;774;01 Jun, 1971;01 Sep, 1977;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-1;Operational
PHWR;CANDU 791;777;01 Dec, 1970;01 Sep, 1977;Ontario Power Generation;Bruce Power;0;Canada;BRUCE-2;Operational
PWR;WH 2LP;365;01 Sep, 1965;09 Dec, 1969;Kernkraftwerk Beznau CH-5312 Döttingen;Kernkraftwerk Beznau CH-5312 Döttingen;0;Switzerland;BEZNAU-1;Operational
BWR;BWR-4;306;01 Mar, 1967;06 Nov, 1972;BKW ENERGIE AG;BKW ENERGIE AG;20 Dec, 2019;Switzerland;MUEHLEBERG;Permanent shutdown
PWR;WH 2LP;365;01 Jan, 1968;04 Mar, 1972;Kernkraftwerk Beznau CH-5312 Döttingen;Kernkraftwerk Beznau CH-5312 Döttingen;0;Switzerland;BEZNAU-2;Operational
PWR;PWR 3 Loop;1010;01 Dec, 1973;01 Nov, 1979;KERNKRAFTWERK GÖSGEN-DÄNIKEN AG;KERNKRAFTWERK GÖSGEN-DÄNIKEN AG;0;Switzerland;GOESGEN;Operational
BWR;BWR-6;960;01 Jan, 1974;15 Dec, 1984;KERNKRAFTWERK LEIBSTADT;KERNKRAFTWERK LEIBSTADT;0;Switzerland;LEIBSTADT;Operational
PWR;CNP-300;308;20 Mar, 1985;01 Apr, 1994;QINSHAN NUCLEAR POWER COMPANY;CNNC Nuclear Operation Management Company Limited;0;China;QINSHAN-1;Operational
PWR;M310;930;07 Aug, 1987;01 Feb, 1994;GUANDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMITED;Daya Bay Nuclear Power Operations and Management Co, Ltd.;0;China;DAYA BAY-1;Operational
PWR;M310;930;07 Apr, 1988;06 May, 1994;GUANDONG NUCLEAR POWER JOINT VENTURE COMPANY LIMITED;Daya Bay Nuclear Power Operations and Management Co, Ltd.;0;China;DAYA BAY-2;Operational
PWR;CNP-600;610;02 Jun, 1996;15 Apr, 2002;NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.;NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.;0;China;QINSHAN 2-1;Operational
PWR;CNP-600;610;01 Apr, 1997;03 May, 2004;NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.;NUCLEAR POWER PLANT QINSHAN JOINT VENTURE COMPANY LTD.;0;China;QINSHAN 2-2;Operational
PWR;M310;950;15 May, 1997;28 May, 2002;LINGAO NUCLEAR POWER COMPANY LTD.;Daya Bay Nuclear Power Operations and Management Co, Ltd.;0;China;LING AO-1;Operational
PWR;M310;950;28 Nov, 1997;08 Jan, 2003;LINGAO NUCLEAR POWER COMPANY LTD.;Daya Bay Nuclear Power Operations and Management Co, Ltd.;0;China;LING AO-2;Operational
PHWR;CANDU 6;677;08 Jun, 1998;31 Dec, 2002;The Third Qinshan Joint Venture Company, LTD.;The Third Qinshan Joint Venture Company, LTD.;0;China;QINSHAN 3-1;Operational
PWR;VVER V-320;1027;01 Feb, 1987;10 Jun, 2002;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;TEMELIN-1;Operational
PWR;VVER V-320;1029;01 Feb, 1987;18 Apr, 2003;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;TEMELIN-2;Operational
PWR;VVER V-213;468;01 Jan, 1979;03 May, 1985;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;DUKOVANY-1;Operational
PWR;VVER V-213;420;01 Jan, 1979;21 Mar, 1986;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;DUKOVANY-2;Operational
PWR;VVER V-213;420;01 Mar, 1979;20 Dec, 1986;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;DUKOVANY-3;Operational
PWR;VVER V-213;420;01 Mar, 1979;19 Jul, 1987;CZECH POWER Co., CEZ a.s.;CZECH POWER Co., CEZ a.s.;0;Czech republic;DUKOVANY-4;Operational
BWR;BWR;15;01 Jul, 1958;01 Feb, 1962;VERSUCHSATOMKRAFTWERK KAHL GMBH;VERSUCHSATOMKRAFTWERK KAHL GMBH;25 Nov, 1985;Germany;VAK KAHL;Permanent shutdown
PWR;0;630;01 Dec, 1967;19 May, 1972;KERNKRAFTWERK STADE GMBH;E.ON Kernkraft GmbH;14 Nov, 2003;Germany;STADE;Permanent shutdown
HWGCR;pressure tube reactor;100;01 Jun, 1966;01 Jan, 1973;Karlsruher Institut für Technologie (Kernforschungszentrum Karlsruhe -KfK);KERNKRAFTWERK NIEDERAICHBACH GMBH;31 Jul, 1974;Germany;NIEDERAICHBACH;Permanent shutdown
PWR;PWR;1146;01 Jan, 1970;26 Feb, 1975;RWE Power AG;RWE Power AG;06 Aug, 2011;Germany;BIBLIS-A;Permanent shutdown
BWR;BWR-69;770;15 Apr, 1970;09 Feb, 1977;1. (66,6%) Vattenfall Europe Nuclear Energy GmbH 2. (33,3%) E.ON Kernkraft GmbH;Kernkraftwerk Brunsbüttel GmbH & Co. oHG;06 Aug, 2011;Germany;BRUNSBUETTEL;Permanent shutdown
BWR;BWR-69;864;01 Oct, 1970;26 Mar, 1980;EnBW Kraftwerke AG;EnBW Kernkraft GmbH;06 Aug, 2011;Germany;PHILIPPSBURG-1;Permanent shutdown
PWR;PWR;805;01 Feb, 1972;01 Dec, 1976;1. (98.45%) EnBW 2. (1.55%) four other owners;EnBW Kernkraft GmbH;06 Aug, 2011;Germany;NECKARWESTHEIM-1;Permanent shutdown
BWR;BWR-69;870;01 May, 1972;21 Mar, 1979;E.ON Kernkraft GmbH;E.ON Kernkraft GmbH;06 Aug, 2011;Germany;ISAR-1;Permanent shutdown
PWR;PWR;1230;01 Jul, 1972;06 Sep, 1979;E.ON Kernkraft GmbH;E.ON Kernkraft GmbH;06 Aug, 2011;Germany;UNTERWESER;Permanent shutdown
PWR;PWR;1178;01 Feb, 1972;31 Jan, 1977;RWE Power AG;RWE Power AG;06 Aug, 2011;Germany;BIBLIS-B;Permanent shutdown
HTGR;Pebble bed reactor;296;03 May, 1971;01 Jun, 1987;HOCHTEMPERATUR-KERNKRAFTWERK GMBH;HOCHTEMPERATUR-KERNKRAFTWERK GMBH;29 Sep, 1988;Germany;THTR-300;Permanent shutdown
PHWR;-;50;01 Dec, 1961;19 Dec, 1966;Kerntechnische Entsorgung Karlsruhe GmbH;KERNKRAFTWERK-BETRIEBSGESELLSCHAFT MBH;03 May, 1984;Germany;MZFR;Permanent shutdown
BWR;BWR-69;1260;05 Apr, 1974;28 Mar, 1984;1. (50%) Vattenfall Europe Nuclear Energy GmbH 2. (50%) E.ON Kernkraft GmbH;Kernkraftwerk Krümmel GmbH & Co. oHG;06 Aug, 2011;Germany;KRUEMMEL;Permanent shutdown
PWR;PWR;1219;15 Jan, 1975;18 Aug, 1987;SCN;Kernkraftwerk Gundremmingen GmbH;09 Sep, 1988;Germany;MUELHEIM-KAERLICH;Permanent shutdown
PWR;PWR;1225;01 Jan, 1975;17 Jun, 1982;E.ON Kernkraft GmbH;E.ON Kernkraft GmbH;27 Jun, 2015;Germany;GRAFENRHEINFELD;Permanent shutdown
PWR;PWR;1268;07 Jul, 1977;18 Apr, 1985;EnBW Kernkraft GmbH;EnBW Kernkraft GmbH;31 Dec, 2019;Germany;PHILIPPSBURG-2;Permanent shutdown
BWR;BWR-72;1244;20 Jul, 1976;19 Jul, 1984;1. (75%) RWE Power AG 2. (25%) E.ON Kernkraft GmbH;Kernkraftwerk Gundremmingen GmbH;31 Dec, 2017;Germany;GUNDREMMINGEN-B;Permanent shutdown
PWR;PWR;1289;01 Jun, 1976;01 Feb, 1985;1. (83,3%) PreussenElektra GmbH 2. (16,7%) Stadtwerke Bielefeld;PreussenElektra GmbH;0;Germany;GROHNDE;Operational
BWR;BWR-72;1249;20 Jul, 1976;18 Jan, 1985;1. (75%) RWE Power AG 2. (25%) PreussenElektra GmbH;Kernkraftwerk Gundremmingen GmbH;0;Germany;GUNDREMMINGEN-C;Operational
BWR;0;237;12 Dec, 1962;12 Apr, 1967;0;KERNKRAFTWERKE GUNDREMMINGEN BETRIEBSGESELLSCHAFT MBH;13 Jan, 1977;Germany;GUNDREMMINGEN-A;Permanent shutdown
PWR;Konvoi;1285;15 Sep, 1982;09 Apr, 1988;1. (75%) PreussenElektra GmbH 2. (25%) Stadtwerke München;PreussenElektra GmbH;0;Germany;ISAR-2;Operational
PWR;PWR;1307;01 Jan, 1976;22 Dec, 1986;1. (80%) PreussenElektra GmbH 2. (20%) Vattenfall GmbH;PreussenElektra GmbH;0;Germany;BROKDORF;Operational
PWR;Konvoi;1242;10 Aug, 1982;20 Jun, 1988;1. (75%) RWE Power AG 2. (25%) PreussenElektra GmbH;Kernkraftwerke Lippe-Ems GmbH;0;Germany;EMSLAND;Operational
HTGR;Pebble bed reactor prototype;13;01 Aug, 1961;19 May, 1969;ARBEITSGEMEINSCHAFT VERSUCHSREAKTOR GMBH;ARBEITSGEMEINSCHAFT VERSUCHSREAKTOR GMBH;31 Dec, 1988;Germany;AVR JUELICH;Permanent shutdown
PWR;Konvoi;1225;09 Nov, 1982;15 Apr, 1989;EnBW Kernkraft GmbH;EnBW Kernkraft GmbH;0;Germany;NECKARWESTHEIM-2;Operational
PWR;0;283;15 Mar, 1965;31 Mar, 1969;KERNKRAFTWERK OBRIGHEIM GMBH;EnBW Kraftwerke AG;11 May, 2005;Germany;OBRIGHEIM;Permanent shutdown
PWR;VVER-70;62;01 Jan, 1960;11 Oct, 1966;ENERGIEWERKE Nord GmbH;ENERGIEWERKE Nord GmbH;01 Jun, 1990;Germany;RHEINSBERG;Permanent shutdown
PWR;VVER V-230;440;01 Mar, 1970;12 Jul, 1974;ENERGIEWERKE Nord GmbH;ENERGIEWERKE Nord GmbH;14 Feb, 1990;Germany;GREIFSWALD-1;Permanent shutdown
