reactor_name;Calendar_Date_of_event;Event_name
ANGRA-3;01 Jun, 2010;Construction start
RAJASTHAN-7;01 Jul, 2011;Construction start
RAJASTHAN-8;01 Sep, 2011;Construction start
BUSHEHR-2;01 Sep, 2019;Construction start
MOCHOVCE-3;01 Jan, 1987;Construction start
MOCHOVCE-4;01 Jan, 1987;Construction start
AKKUYU-1;01 Apr, 2018;Construction start
KHMELNITSKI-3;01 Mar, 1986;Construction start
KHMELNITSKI-4;01 Feb, 1987;Construction start
PFBR;01 Oct, 2004;Construction start
OLKILUOTO-3;01 Aug, 2005;Construction start
SHIMANE-3;01 Oct, 2006;Construction start
OHMA;01 May, 2010;Construction start
FLAMANVILLE-3;01 Dec, 2007;Construction start
SHIN-HANUL-1;01 Jul, 2012;Construction start
SHIN-HANUL-2;01 Jun, 2013;Construction start
KURSK 2-1;01 Apr, 2018;Construction start
TAISHAN-2;01 Apr, 2010;Construction start
FUQING-6;01 Dec, 2015;Construction start
CHANGJIANG-3;01 Mar, 2021;Construction start
FANGCHENGGANG-3;01 Dec, 2015;Construction start
FANGCHENGGANG-4;01 Dec, 2016;Construction start
SHIDAO BAY-1;01 Dec, 2012;Construction start
BALTIC-1;01 Feb, 2012;Construction start
KAKRAPAR-3;01 Nov, 2010;Construction start
KAKRAPAR-4;01 Nov, 2010;Construction start
HONGYANHE-5;01 Mar, 2015;Construction start
HONGYANHE-6;01 Jul, 2015;Construction start
CALDER HALL-4;01 Apr, 1959;Operation
BILIBINO-1;01 Apr, 1974;Operation
CALVERT CLIFFS-2;01 Apr, 1977;Operation
FESSENHEIM-2;01 Apr, 1978;Operation
BOHUNICE-1;01 Apr, 1980;Operation
RAJASTHAN-2;01 Apr, 1981;Operation
SAN ONOFRE-3;01 Apr, 1984;Operation
CRUAS-2;01 Apr, 1985;Operation
DUNGENESS B-1;01 Apr, 1985;Operation
CATTENOM-1;01 Apr, 1987;Operation
CHINON B-4;01 Apr, 1988;Operation
DUNGENESS B-2;01 Apr, 1989;Operation
HARTLEPOOL A-1;01 Apr, 1989;Operation
HARTLEPOOL A-2;01 Apr, 1989;Operation
HEYSHAM A-1;01 Apr, 1989;Operation
HEYSHAM A-2;01 Apr, 1989;Operation
HEYSHAM B-1;01 Apr, 1989;Operation
HEYSHAM B-2;01 Apr, 1989;Operation
QINSHAN-1;01 Apr, 1994;Operation
CHAPELCROSS-2;01 Aug, 1959;Operation
HUMBOLDT BAY;01 Aug, 1963;Operation
PATHFINDER;01 Aug, 1966;Operation
INDIAN POINT-2;01 Aug, 1974;Operation
BROWNS FERRY-1;01 Aug, 1974;Operation
ST. LAURENT B-1;01 Aug, 1983;Operation
ST. LAURENT B-2;01 Aug, 1983;Operation
CHINON B-2;01 Aug, 1984;Operation
SHOREHAM;01 Aug, 1986;Operation
APS-1 OBNINSK;01 Dec, 1954;Operation
CHAPELCROSS-3;01 Dec, 1959;Operation
BELOYARSK-2;01 Dec, 1969;Operation
OYSTER CREEK;01 Dec, 1969;Operation
NINE MILE POINT-1;01 Dec, 1969;Operation
PILGRIM-1;01 Dec, 1972;Operation
DOEL-2;01 Dec, 1975;Operation
NECKARWESTHEIM-1;01 Dec, 1976;Operation
MIHAMA-3;01 Dec, 1976;Operation
FARLEY-1;01 Dec, 1977;Operation
TRICASTIN-1;01 Dec, 1980;Operation
TRICASTIN-2;01 Dec, 1980;Operation
GRAVELINES-2;01 Dec, 1980;Operation
BLAYAIS-1;01 Dec, 1981;Operation
CAORSO;01 Dec, 1981;Operation
MCGUIRE-1;01 Dec, 1981;Operation
PALUEL-1;01 Dec, 1985;Operation
PALUEL-2;01 Dec, 1985;Operation
SUPER-PHENIX;01 Dec, 1986;Operation
FLAMANVILLE-1;01 Dec, 1986;Operation
